ContigID,Type,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Isolate
CENOTE_META51757_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META51757
CENOTE_META51973_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META51973
CENOTE_META52811_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META52811
CENOTE_META56106_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_META56106
CENOTE_META56106_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_META56106
CENOTE_META57170_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META57170
CENOTE_META57170_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META57170
CENOTE_META57931_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META57931
CENOTE_META57931_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META57931
CENOTE_META58850_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_META58850
CENOTE_META58850_3_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_META58850
CENOTE_META58850_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_META58850
CENOTE_META59865_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 5,Unclassified family 5,Unclassified family 5,CENOTE_META59865
CENOTE_META59865_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 5,Unclassified family 5,Unclassified family 5,CENOTE_META59865
CENOTE_META60684_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 6,Unclassified family 6,Unclassified family 6,CENOTE_META60684
